Draw_Date,Day_of_Week,Month,Prize_1,Last_2,First_3,Last_3,Source_URL
2006-12-30,Saturday,12,778584,07,,"164,403,811,971",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2007-01-16,Tuesday,1,838739,54,,"263,293,803,845",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2007-02-01,Thursday,2,769925,56,,"239,287,865,893",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2007-02-16,Friday,2,277859,95,,"384,607,625,979",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2007-03-01,Thursday,3,742425,61,,"294,801,942,949",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2007-03-16,Friday,3,876763,85,,"001,191,350,906",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2007-04-01,Sunday,4,622780,93,,"022,677,794,814",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2007-04-16,Monday,4,405105,63,,"013,522,866,987",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2007-05-02,Wednesday,5,430374,81,,"442,553,729,881",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2007-05-16,Wednesday,5,232897,25,,"585,751,858,924",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2007-06-01,Friday,6,836393,05,,"242,433,523,739",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2007-06-16,Saturday,6,393194,41,,"424,589,907,989",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2007-07-01,Sunday,7,565151,76,,"146,287,638,949",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2007-07-16,Monday,7,527384,77,,"105,183,334,947",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2007-08-01,Wednesday,8,429924,29,,"006,048,885,962",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2007-08-16,Thursday,8,476207,93,,"234,236,312,424",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2007-09-01,Saturday,9,331810,69,,"293,505,518,520",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2007-09-16,Sunday,9,499336,45,,"247,273,604,608",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2007-10-01,Monday,10,430667,76,,"090,104,126,667",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2007-10-16,Tuesday,10,032988,48,,"158,663,685,846",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2007-11-01,Thursday,11,927907,88,,"213,277,524,648",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2007-11-16,Friday,11,562481,73,,"130,198,752,844",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2007-12-16,Sunday,12,513501,96,,"425,432,460,702",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2007-12-30,Sunday,12,595411,81,,"267,490,741,787",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2008-01-16,Wednesday,1,556010,81,,"413,548,942,965",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2008-02-01,Friday,2,212684,26,,"311,472,732,796",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2008-02-16,Saturday,2,137054,80,,"344,512,630,892",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2008-03-01,Saturday,3,936685,05,,"056,085,371,691",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2008-03-16,Sunday,3,074946,33,,"077,974,085,158",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2008-04-01,Tuesday,4,012653,71,,"124,195,200,586",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2008-04-16,Wednesday,4,982800,64,,"008,043,584,802",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2008-05-02,Friday,5,453011,62,,"001,133,001,792",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2008-05-16,Friday,5,329231,69,,"193,120,355,214",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2008-06-01,Sunday,6,414875,35,,"370,666,747,916",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2008-06-16,Monday,6,729111,75,,"339,345,639,870",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2008-07-01,Tuesday,7,943671,50,,"096,287,490,523",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2008-07-16,Wednesday,7,257374,41,,"344,401,486,576",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2008-08-01,Friday,8,850348,11,,"236,386,408,913",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2008-08-16,Saturday,8,380377,36,,"161,445,457,744",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2008-09-01,Monday,9,695993,09,,"027,206,413,904",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2008-09-16,Tuesday,9,012377,56,,"378,534,557,691",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2008-10-01,Wednesday,10,882911,67,,"204,302,311,395",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2008-10-16,Thursday,10,431277,98,,"324,526,644,648",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2008-11-01,Saturday,11,272028,76,,"285,333,421,929",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2008-11-16,Sunday,11,002612,20,,"068,589,824,877",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2008-12-01,Monday,12,205434,05,,"013,260,617,957",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
2008-12-16,Tuesday,12,074114,25,,"305,715,803,959",https://raw.githubusercontent.com/heart/Data-Set-Thai-Lotto/master/lotto.csv
