Draw_Date,Prize_1,Last_2,First_3,Last_3
2025-01-02,730209,51,"446,065","376,297"
2025-01-17,807779,23,"961,699","448,477"
2025-02-01,558700,51,"285,418","685,824"
2025-02-16,847377,50,"268,613","652,001"
2025-03-01,818894,54,"139,530","781,656"
2025-03-16,757563,32,"595,927","457,309"
2025-04-01,669687,36,"635,760","180,666"
2025-04-16,266227,85,"413,254","474,760"
2025-05-02,213388,06,"826,116","167,662"
2025-05-16,251309,87,"109,231","965,631"
2025-06-01,559352,20,"349,134","307,044"
2025-06-16,507392,06,"243,017","299,736"
2025-07-01,949246,91,"680,169","918,261"
2025-07-16,245324,26,"995,171","084,336"
2025-08-01,811852,50,"525,142","891,512"
2025-08-16,994865,63,"602,247","834,989"
2025-09-01,506356,31,"131,012","022,209"
2025-09-16,074646,58,"740,512","308,703"
2025-10-01,876978,77,"843,532","280,605"
2025-10-16,059696,61,"955,531","889,476"
2025-11-01,345898,87,"449,328","111,690"
2025-11-16,458145,37,"602,242","389,239"
2025-12-01,461252,22,"655,389","137,995"
2025-12-16,763895,52,"431,176","014,449"
2026-01-02,837706,16,"694,347","288,765"
2026-01-17,878972,02,"299,815","662,363"
2026-02-01,174629,48,"917,195","408,041"
2026-02-16,340563,07,"527,241","578,169"
2026-03-01,820866,06,"479,054","068,837"
2026-03-16,833009,64,"510,983","439,954"
2026-04-01,292514,47,"406,113","851,098"
2026-04-16,309612,77,"355,108","868,424"
2026-05-02,536077,43,"267,318","065,153"
